ant_frame_index,packet_index,net_send_frame,timestamp_hmsm,category,object_index,ref_longitude_deg,ref_latitude_deg,ref_heading_deg,ref_altitude_m,position_x_m,position_y_m,position_z_m,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,world_latitude_deg,world_longitude_deg,world_altitude_m,details_json
24,47687,162456,55814,powerline_segment,0,118.60113525390625,31.99413299560547,49.600006103515625,0.0,1531.82373046875,-53.72698402404785,71.52419662475586,1212.4998779296875,-157.50315856933594,60.79785919189453,1851.1475830078125,50.049190521240234,82.25053405761719,32.00789360230204,118.6017043334596,71.52419662475586,"{""segment_info_raw"": 67108864, ""segment_info"": {""segment_id"": 0, ""endpoint_flag"": 0, ""segment_count"": 4}, ""start_xyz"": [1212.4998779296875, -157.50315856933594, 60.79785919189453], ""end_xyz"": [1851.1475830078125, 50.049190521240234, 82.25053405761719]}"
24,47687,162456,55814,powerline_segment,1,118.60113525390625,31.99413299560547,49.600006103515625,0.0,2132.6057739257812,116.8791561126709,92.11064529418945,1851.1475830078125,50.049190521240234,82.25053405761719,2414.06396484375,183.70912170410156,101.97075653076172,32.01329051922266,118.59989726262191,92.11064529418945,"{""segment_info_raw"": 67174400, ""segment_info"": {""segment_id"": 0, ""endpoint_flag"": 1, ""segment_count"": 4}, ""start_xyz"": [1851.1475830078125, 50.049190521240234, 82.25053405761719], ""end_xyz"": [2414.06396484375, 183.70912170410156, 101.97075653076172]}"
24,47687,162456,55814,powerline_segment,2,118.60113525390625,31.99413299560547,49.600006103515625,0.0,2656.22607421875,216.20702362060547,136.09678268432617,2414.06396484375,183.70912170410156,101.97075653076172,2898.38818359375,248.70492553710938,170.22280883789062,32.017994280410946,118.5988451756771,136.09678268432617,"{""segment_info_raw"": 67239936, ""segment_info"": {""segment_id"": 0, ""endpoint_flag"": 2, ""segment_count"": 4}, ""start_xyz"": [2414.06396484375, 183.70912170410156, 101.97075653076172], ""end_xyz"": [2898.38818359375, 248.70492553710938, 170.22280883789062]}"
24,47687,162456,55814,powerline_segment,3,118.60113525390625,31.99413299560547,49.600006103515625,0.0,3102.73876953125,266.94114685058594,166.2598876953125,2898.38818359375,248.70492553710938,162.29696655273438,3307.08935546875,285.1773681640625,170.22280883789062,32.02200537219847,118.59830779669126,166.2598876953125,"{""segment_info_raw"": 67305472, ""segment_info"": {""segment_id"": 0, ""endpoint_flag"": 3, ""segment_count"": 4}, ""start_xyz"": [2898.38818359375, 248.70492553710938, 170.22280883789062], ""end_xyz"": [3307.08935546875, 285.1773681640625, 162.29696655273438]}"
24,47687,162456,55814,powerline_segment,4,118.60113525390625,31.99413299560547,49.600006103515625,0.0,2259.7946166992188,63.83710479736328,111.54741287231445,1212.4998779296875,-157.50315856933594,60.79785919189453,3307.08935546875,285.1773681640625,162.29696655273438,32.01443307603699,118.60045908732545,111.54741287231445,"{""segment_info_raw"": 83820544, ""segment_info"": {""segment_id"": 0, ""endpoint_flag"": 255, ""segment_count"": 4}, ""start_xyz"": [1212.4998779296875, -157.50315856933594, 60.79785919189453], ""end_xyz"": [3307.08935546875, 285.1773681640625, 162.29696655273438]}"
21,42451,154836,55803,isolated_object,0,118.60113525390625,31.9941349029541,133.10000610351562,0.0,-255.7082061767578,-408.5618896484375,51.64748764038086,-255.7082061767578,-408.5618896484375,51.64748764038086,-255.7082061767578,-408.5618896484375,51.64748764038086,31.991837837055268,118.60546276691917,51.64748764038086,"{""point_xyz"": [-255.7082061767578, -408.5618896484375, 51.64748764038086]}"
21,42451,154836,55803,isolated_object,1,118.60113525390625,31.9941349029541,133.10000610351562,0.0,560.9343872070312,-2023.6317138671875,154.58111572265625,560.9343872070312,-2023.6317138671875,154.58111572265625,560.9343872070312,-2023.6317138671875,154.58111572265625,31.999173862288263,118.62256968721243,154.58111572265625,"{""point_xyz"": [560.9343872070312, -2023.6317138671875, 154.58111572265625]}"
21,42451,154836,55803,isolated_object,2,118.60113525390625,31.9941349029541,133.10000610351562,0.0,135.54373168945312,-2096.43115234375,136.63291931152344,135.54373168945312,-2096.43115234375,136.63291931152344,135.54373168945312,-2096.43115234375,136.63291931152344,31.995352513012534,118.62334078340452,136.63291931152344,"{""point_xyz"": [135.54373168945312, -2096.43115234375, 136.63291931152344]}"
21,42451,154836,55803,isolated_object,3,118.60113525390625,31.9941349029541,133.10000610351562,0.0,153.59207153320312,-788.235107421875,29.042476654052734,153.59207153320312,-788.235107421875,29.042476654052734,153.59207153320312,-788.235107421875,29.042476654052734,31.99551464400788,118.6094842893181,29.042476654052734,"{""point_xyz"": [153.59207153320312, -788.235107421875, 29.042476654052734]}"
21,42451,154836,55803,isolated_object,4,118.60113525390625,31.9941349029541,133.10000610351562,0.0,-344.1186218261719,-1041.0870361328125,-96.49417114257812,-344.1186218261719,-1041.0870361328125,-96.49417114257812,-344.1186218261719,-1041.0870361328125,-96.49417114257812,31.991043632778737,118.61216251271476,-96.49417114257812,"{""point_xyz"": [-344.1186218261719, -1041.0870361328125, -96.49417114257812]}"
